题号,题目(正面),答案(背面),题型
41,管理员可以通过哪个命令创建资源池？ A. create resource unit B. create resource pool C. create tenant D. create database,"正确答案：B

详细解析
B 项正确（CREATE RESOURCE POOL）：
用于创建资源池（Resource Pool），将资源单元规格（Unit）绑定到具体的 Zone 列表和副本数量上。
A 项（CREATE RESOURCE UNIT）：创建资源单元规格。
C 项（CREATE TENANT）：创建租户。
D 项（CREATE DATABASE）：在租户内创建数据库。",单选题
42,OceanBase 不支持什么操作系统？ A. CentOS B. Windows C. 统信操作 D. 麒麟操作,"正确答案：B

详细解析
B 项（Windows）：不支持（符合题意）
OceanBase 数据库服务端（OBServer）是纯 Linux 架构设计的企业级分布式数据库，依赖 Linux 内核诸多底层特性（如异步 I/O libaio、cgroups 隔离等），不支持在 Windows 操作系统上作为服务端部署运行。
A、C、D 项（CentOS、统信 UOS、银河麒麟）均得到官方深度适配与认证支持。",单选题
43,OceanBase 一般用户的登录格式？ A. 用户名@租户名，例如 root@sys B. 租户名@用户名，例如 sys@root C. 用户名@数据库名，例如 root@oceanbase D. 数据库名@用户名，例如 oceanbase@root,"正确答案：A

详细解析
A 项正确（用户名@租户名，例如 root@sys）：
直连 OBServer 时登录格式为 用户名@租户名（如 root@sys 或 user1@tenant_app）；
通过 OBProxy 连接时格式为 用户名@租户名#集群名（如 root@sys#obcluster）。",单选题
44,Linux 操作系统一般创建什么用户安装 OceanBase？ A. root B. obuser C. observer D. admin,"正确答案：D

详细解析
D 项正确（admin）：
根据 OceanBase 官方安装部署规范与最佳实践，统一创建并使用 admin 用户（属于 admin 用户组）来运行和管理 OBServer 进程及周边工具，默认安装与日志目录通常配置在 /home/admin 下。",单选题
45,ConfigServer(config url)主要是给以下哪个组件提供的？ A. ODC B. OCP C. OMS D. OBProxy,"正确答案：D

详细解析
D 项正确（OBProxy / ODP）：
ConfigServer（及 config_url）主要为 OBProxy（数据库代理）提供服务。OBProxy 启动和运行时定期向 ConfigServer 发起 HTTP 请求动态获取集群中各 OBServer / RootService 的最新状态与 IP 列表以维护路由。",单选题
46,部署 OceanBase 集群时，各 OBServer 间 RPC 时钟同步时间偏移最多？ A. 1 毫秒 B. 10 毫秒 C. 100 毫秒 D. 200 毫秒,"正确答案：C

详细解析
C 项正确（100 毫秒）：
OceanBase 官方明确要求所有 OBServer 节点必须配置 NTP / Chrony 时钟同步服务，且各节点之间的时钟偏差（Clock Skew）最大不能超过 100 毫秒（100 ms），以保证 Paxos 租约与分布式事务因果时序正常。",单选题
47,"""major_freeze_duty_time"" 设置为 ""02:00"" 意味着什么？ A. 每天凌晨2点，自动触发一次转储操作 B. 每天凌晨2点，自动触发一次合并操作 C. 每天凌晨2点，自动触发一次内存清理操作 D. 每天凌晨2点，自动触发一次数据恢复操作","正确答案：B

详细解析
B 项正确（每天凌晨2点，自动触发一次合并操作）：
major_freeze_duty_time 是用于控制每日大合并（Major Compaction / Major Freeze）触发时间的系统参数，设置为 ""02:00"" 意味着系统会在每天凌晨 2:00 自动发起每日例行的全局大合并。",单选题
48,通过哪个命令可以查询系统参数？ A. show parameters like '%<pattern>%'; B. alter system set <name>=<value>; C. show variables like '%<pattern>%'; D. set @@global.<name>=<value>;,"正确答案：A

详细解析
A 项正确（SHOW PARAMETERS LIKE '%<pattern>%';）：
用于查看 OceanBase 集群/租户级的系统参数（Parameters）。
B 项：修改系统参数。
C 项：查询系统变量（Variables）。
D 项：修改全局系统变量。",单选题
49,OceanBase 是一个什么类型的数据库？ A. 内存式数据库 B. NoSQL 数据库 C. 分布式关系型数据库 D. 图数据库,"正确答案：C

详细解析
C 项正确（分布式关系型数据库）：
OceanBase 是完全自主研发的原生分布式关系型数据库（Distributed Relational Database），支持标准 SQL 与 ACID 事务，具备高可用、水平扩展、强一致性及 HTAP 能力。",单选题
50,关于OceanBase的架构特点，以下哪个是错误的？ A.无共享 B.全局等价节点 C.准内存数据库 D.集中式管控,"正确答案：D

详细解析
D 项错误（符合题意）：
OceanBase 采用去中心化、分布式管控架构，不存在集中式单点控制节点。RootService 作为轻量服务嵌入在 OBServer 中由 Paxos 选举产生，节点宕机自动接管。
A 项（无共享 / Shared-Nothing）、B 项（全局等价节点）、C 项（准内存数据库设计）均为其真实架构特点。",单选题
51,OceanBase的产品体系中，数据库内核的兼容性基于什么？ A.MySQL B.PostgreSQL C.完全自主研发，同时兼容MySQL和Oracle D.基于开源分支,"正确答案：C

详细解析
C 项正确（完全自主研发，同时兼容 MySQL 和 Oracle）：
OceanBase 从第一行代码自研，采用双模式兼容设计，在租户级别原生兼容 MySQL 模式与 Oracle 模式。",单选题
52,OceanBase的存储结构被称为？ A.准内存数据库 B.纯硬盘数据库 C.纯内存数据库 D.内存数据库,"正确答案：A

详细解析
A 项正确（准内存数据库 / Quasi-in-Memory Database）：
写操作全在内存 MemTable 完成并记录日志，读操作通过多级缓存高效命中，定期通过转储与合并下沉至磁盘 SSTable 编码压缩存储，兼具内存级性能与磁盘级持久化成本优势。",单选题
53,OceanBase 可以支持极高写性能的核心存储引擎架构是？ A. COLA B. LSM-TREE C. Key-Value D. BTREE,"正确答案：B

详细解析
B 项正确（LSM-TREE）：
所有增删改操作全在内存 MemTable 中完成，磁盘仅需顺序追加写入事务日志（Clog），将随机写转化为纯内存写与磁盘顺序写，带来极致的写入吞吐与写性能。",单选题
54,OceanBase 数据库推荐使用的磁盘介质是什么？ A. SAS 机械盘 B. SSD 固态盘 C. SAS 机械盘 + SSD 固态盘 D. 磁带,"正确答案：B

详细解析
B 项正确（SSD 固态盘 / NVMe SSD）：
事务日志盘（Clog）与基线数据盘（Data）均强烈推荐使用 SSD 固态硬盘，以提供极低的写 I/O 延迟与高并发吞吐能力，满足 Paxos 毫秒级落盘与大合并扫描需求。",单选题
55,OceanBase 把内存中增量数据，合并到磁盘基线数据的过程称为什么？ A. 转储 B. 合并 C. 刷新 D. 压缩,"正确答案：B

详细解析
B 项正确（合并 / Major Compaction / 大合并）：
将内存增量数据（MemTable）及转储数据（Minor SSTable）与磁盘静态基线数据（Baseline SSTable）完全融合并生成全新基线数据的过程称为合并（Major Compaction）。
A 项（转储）：将 MemTable 快速刷写到磁盘生成转储 SSTable 以释放内存。",单选题
56,为了达到更好的压缩效果，OceanBase 一般推荐进行几次压缩？ A. 1 次 B. 2 次 C. 3 次 D. 4 次,"正确答案：B

详细解析
B 项正确（2 次）：
OceanBase 在大合并时采用独创的两级压缩技术（底层高级编码压缩 + 通用块压缩），以达到极高的数据压缩比与优异的查询性能。",单选题
57,关于 OceanBase 数据库主键特点，说法错误的是： A. 保证数据唯一 B. 不能为空 C. 强制要求用户必须建立主键 D. 业务上可以不显式定义主键,"正确答案：C

详细解析
C 项说法错误（符合题意）：
OceanBase 并不强制要求建表时显式指定主键。如果未定义主键，系统会在后台自动生成隐藏自增主键（__pk_increment）来维护底层有序索引结构。
A 项（保证唯一）、B 项（不能为空）、D 项（业务上可不显式定义）均正确。",单选题
58,OceanBase 使用哪种机制解决读写并发冲突？ A. MVCC B. Paxos 协议 C. 全局锁 D. 读写锁,"正确答案：A

详细解析
A 项正确（MVCC - 多版本并发控制）：
写操作生成带版本号的新数据行，读操作根据快照版本号读取对应历史版本，实现读不阻塞写、写不阻塞读，彻底解决读写并发冲突。写写并发冲突通过行锁保护。",单选题
59,OceanBase 使用哪种机制保证跨节点分布式事务的原子性？ A. 一阶段提交 B. 两阶段提交 C. 三阶段提交 D. MVCC,"正确答案：B

详细解析
B 项正确（两阶段提交 / 2PC）：
跨节点分布式事务通过两阶段提交协议（Prepare 阶段 + Commit 阶段）结合底层 Paxos 多数派日志复制，保证分布式事务跨节点的原子性（要么全部提交，要么全部回滚）。",单选题
60,两阶段提交协议中，谁是协调者？ A. OB Proxy B. 接收请求的任意 OB Server C. RootService 总控服务 D. 发起该事务的日志流 Leader 所在的 OB Server,"正确答案：D

详细解析
D 项正确（发起该事务的日志流 Leader 所在的 OBServer）：
分布式两阶段提交采用去中心化设计，由事务涉及的日志流中发起该事务的日志流 Leader 所在的 OBServer 驱动协调者状态机，避免中心化瓶颈并减少网络跳数。",单选题
61,对于 Primary Zone 配置副本，OceanBase 支持哪种级别的容灾调度？ A. 租户级别 B. 数据库级别 C. 表级别 D. 表组级别,"正确答案：A

详细解析
A 项正确（租户级别）：
Primary Zone 最核心且最基础的配置维度是租户级别（Tenant Level），控制该租户内所有日志流/分区 Leader 副本优先驻留的物理 Zone，实现租户级一键容灾调度与流量切流。",单选题
62,建立 table group 的主要目的是？ A. 方便业务表按照业务功能分类 B. 减少跨节点分布式事务 C. SQL 优化器能够识别 D. 更好的实现负载均衡,"正确答案：B

详细解析
B 项正确（减少跨节点分布式事务）：
表组（Tablegroup）将强业务关联的多张表/分区在物理上聚集调度在同一个 OBServer 节点上，将跨机分布式事务转化为单机本地事务，并支持高效的本地关联（Partition-wise Join）。",单选题
63,当集群中某节点宕机时，OceanBase 首先切换的服务级别是什么？ A. 整个集群 B. 租户级别 C. 数据库级别 D. 领导者副本的日志流 (Partition/LogStream Leader),"正确答案：D

详细解析
D 项正确（领导者副本的日志流 Partition / LogStream Leader）：
OceanBase 故障恢复的基本单位是日志流（Log Stream）的副本组。当节点宕机时，仅针对该节点上受影响的 Leader 副本通过 Paxos 协议快速自主选出新 Leader 接管服务（RTO<8s），细粒度且对全局透明。",单选题
64,3个Zone，2个同城，1个异地，同城一个机房宕机，下列说法正确的是： A. 强一致同步延迟变大 B. 会丢失秒级数据 C. 集群不可用 D. 合并业务基本不受影响,"正确答案：A

详细解析
A 项正确（强一致同步延迟变大）：
正常运行时同城 2 副本达成多数派即可提交；同城一个机房宕机后，为了凑齐 2 票多数派必须等待异地跨城网络确认返回，因此强一致写同步延迟会明显增大。基于 Paxos 协议数据零丢失（RPO=0），集群依然可用。",单选题
65,如果从传统 Oracle 业务迁移到 OceanBase，需要进行实时同步，推荐使用哪个工具？ A. OCP B. DataX C. OMS D. ODC,"正确答案：C

详细解析
C 项正确（OMS - OceanBase Migration Service）：
OMS 是一站式数据传输工具，支持结构迁移、全量迁移、增量实时同步（CDC 解析事务日志）及反向同步回滚保障，支持业务平滑割接与实时同步。",单选题
66,关于 OceanBase 资源隔离，以下哪一项是正确的？ A. 集群资源隔离 B. 数据库级隔离 C. schema 隔离 D. 租户级物理隔离,"正确答案：D

详细解析
D 项正确（租户级物理隔离）：
多租户架构是 OceanBase 资源隔离的基本单元。通过 Resource Unit 为每个租户独立分配独占的 CPU（绑定 cgroups）、内存（独占 MemStore/Cache）以及 IOPS 配额，实现租户级物理隔离。",单选题
67,哪个组件负责全集群资源分配、全局 DDL、集群数据合并调度等功能？ A. OB Proxy B. RootService 总控服务 C. OCP 运维平台 D. ODC 开发者工具,"正确答案：B

详细解析
B 项正确（RootService 总控服务 / RS）：
RootService 负责全集群资源单元与资源池调度、系统 Schema 元数据与全局 DDL 协同、每日大合并调度以及副本健康均衡等核心中枢管控任务。",单选题
68,哪个客户端工具可以直接连接 Oracle 租户进行业务开发？ A. OBClient (OceanBase 客户端) / ODC B. 标准 MySQL 客户端 C. OCP 运维平台 D. Navicat,"正确答案：A

详细解析
A 项正确（OBClient / ODC）：
OBClient（命令行客户端）和 ODC（开发者中心）官方深度支持 Oracle 模式租户，完美支持 Oracle 语法、PL/SQL 存储过程调试及复杂对象管理。",单选题
69,5个Zone，每个Zone有10台OB Server，一个分区日志流在集群中全部的副本数是？ A. 10 B. 3 C. 6 D. 5,"正确答案：D

详细解析
D 项正确（5 个副本）：
为了实现机房级容灾，同一个分区/日志流在同一个 Zone 内部最多只能有 1 个副本。5 个 Zone 对应在集群中共有 5 个副本（1 Leader + 4 Follower），单 Zone 内的 10 台节点用于承载不同分区的水平扩展。",单选题
70,关于 RootService 总控服务，说法正确的是： A. 每个Zone会有一个主控OB Server节点 B. 每个Zone有一个主控分区日志流 C. 整个集群只有一个主控Leader提供服务 D. 每台OB Server都会有一个,"正确答案：C

详细解析
C 项正确（整个集群只有一个主控 Leader 提供服务）：
RootService 在任何时刻整个集群全局范围内仅有一个 Leader 处于激活状态并对外提供管控服务，伴随 sys 租户核心元数据表多副本运行并通过 Paxos 保证高可用。",单选题
71,3机房3Zone部署，关于 Root Service 说法正确的是： A. 整个集群只有一个主控Leader B. 每个机房一个主控 C. 每个 observer 上都有 RootService提供服务 D. Root Service 不是必须的,"正确答案：A

详细解析
A 项正确（整个集群只有一个主控 Leader）：
控制面全局统一，无论何种部署形态，整个集群内有且仅有一个处于主控工作状态的 RootService Leader。",单选题
72,3个Zone，每Zone 5台OB Server，租户资源 Unit Num=4，请问有多少个节点上有该租户资源单元？ A. 3 B. 5 C. 12 D. 15,"正确答案：C

详细解析
C 项正确（12 个节点）：
UNIT_NUM=4 代表每个 Zone 分配 4 个 Unit。同一个租户在同一 Zone 内的一台物理节点最多容纳 1 个 Unit。
总节点数 = Zone 数量 × UNIT_NUM = 3 × 4 = 12 台 OBServer。",单选题
73,OceanBase 租户资源的分配方式是：内存是 ___，CPU 是 ___？ A. 共享分配，独占分配 B. 独占分配，共享分配 C. 独占分配，独占分配 D. 共享分配，共享分配,"正确答案：C

详细解析
C 项正确（独占分配，独占分配）：
内存（MEMORY_SIZE）在物理节点上严格独占预留且不可超卖；CPU（MIN_CPU/MAX_CPU）通过配额独占划分并在操作系统层绑定 cgroups 硬隔离，保障各租户互不干扰。",单选题
74,关于 OceanBase 集群升级，说法正确的是： A. 需要维护人员停业务停机 B. 需要业务应用修改代码 C. 支持动态轮转升级，对业务透明 D. 必须使用高性能物理机替换,"正确答案：C

详细解析
C 项正确（支持动态轮转升级，对业务透明）：
基于多副本 Paxos 协议支持按 Zone 在线滚动轮转升级，升级前平滑切主，多数派始终存活，业务不停机、对上层应用完全透明。",单选题
75,哪个平台提供图形化界面，支持集群管理、租户管理、性能监控和告警？ A. ODC B. OCP C. OB Proxy D. OB Server,"正确答案：B

详细解析
B 项正确（OCP - OceanBase Cloud Platform）：
OCP 是官方企业级图形化运维管控平台，提供集群与主机管理、租户全生命周期管理、性能监控诊断与多通道告警等功能。",单选题
76,关于全能副本，说法正确的是： A. 有 MemTable 和 SSTable，参与投票，可快速恢复为 leader B. 没有日志 C. 不参与投票 D. 没有数据只有日志,"正确答案：A

详细解析
A 项正确（有 MemTable 和 SSTable，参与投票，可快速恢复为 leader）：
全能副本（F 副本）拥有完整的数据（MemTable + SSTable）和事务日志，具备 Paxos 成员投票权，支持快速切主并对外提供强一致读写服务。",单选题
77,OceanBase 支持哪些分区类型？ A. Hash、List、Range B. Hash、List C. 只有 Range D. 只有 Hash,"正确答案：A

详细解析
A 项正确（Hash、List、Range）：
OceanBase 完整支持 Range（范围）、List（列表）、Hash（哈希）三种基础一级分区，以及它们的任意两两组合二级分区（Subpartitioning）。",单选题
78,OceanBase 有哪些主要的副本类型？ A. 全能副本、日志副本、只读副本 B. 全能副本、数据副本 C. 读写副本、只读副本 D. 主副本、备副本,"正确答案：A

详细解析
A 项正确（全能副本、日志副本、只读副本）：
全能副本（F 副本，全数据+日志+投票权）、日志副本（L 副本，仅日志+投票权）、只读副本（R 副本，异步同步+不投票+只读服务）。",单选题
79,OceanBase 商业版支持哪种数据库 SQL 语法兼容？ A. MySQL B. 仅 Oracle C. 仅 DB2 D. 同时兼容 MySQL 和 Oracle,"正确答案：D

详细解析
D 项正确（同时兼容 MySQL 和 Oracle）：
商业版原生支持双模式兼容，可在同一个集群内同时创建高度兼容的 MySQL 模式租户和 Oracle 模式租户。",单选题
80,OBProxy（OceanBase 代理服务器）默认监听客户端连接的端口是？ A. 2881 B. 2882 C. 2883 D. 2884,"正确答案：C

详细解析
C 项正确（2883 端口）：
2883 是 OBProxy 默认监听外部应用与客户端 SQL 连接请求的代理业务端口。
2881 为 OBServer 的 SQL 端口；2882 为 OBServer 的内部 RPC 端口；2884 为 OBProxy 内部管理监控端口。",单选题
81,在 OceanBase 数据库中，用于内部节点间通信的 RPC 端口默认是？ A. 2881 B. 2882 C. 2883 D. 2884,"正确答案：B

详细解析
B 项正确（2882 端口）：
2882 是 OBServer 内部 RPC 通信端口，用于节点间 Paxos 日志同步复制、分布式执行计划跨机调度、两阶段提交协调与心跳探测。",单选题
82,关于 OceanBase 的备份恢复机制，物理备份主要备份的是什么？ A. 仅有数据文件 (SSTable) B. 仅有日志文件 (Clog) C. 数据文件 (SSTable) + 增量事务日志 (Clog) D. 逻辑 SQL 脚本,"正确答案：C

详细解析
C 项正确（数据文件 SSTable + 增量事务日志 Clog）：
物理备份由基线/增量数据文件（SSTable 快照）和流式持续日志归档（Clog）协同组成，结合回放实现精确到任意时间点的恢复（PITR）。",单选题
83,当执行一条全表扫描的 SQL 时，OceanBase 的 SQL 引擎如何处理？ A. 只能在单个节点串行执行 B. 会把所有数据拉取到 OBProxy 执行 C. 可以生成分布式并行执行计划 (PX)，利用多节点并行扫描计算 D. 会被系统拒绝执行,"正确答案：C

详细解析
C 项正确（可以生成分布式并行执行计划 PX，利用多节点并行扫描计算）：
优化器生成分布式并行执行计划，调度多节点上的工作线程在本地并行扫描和过滤计算，最后汇总返回，充分发挥集群算力与 I/O 吞吐。",单选题
84,ODC（OceanBase 开发者中心）主要用于什么场景？ A. 集群的全生命周期管理与安装部署 B. 数据库对象的开发、SQL 编辑执行、PL/SQL 调试与数据导入导出 C. 异构数据库的数据迁移与实时同步 D. 物理服务器资源的监控,"正确答案：B

详细解析
B 项正确（数据库对象的开发、SQL 编辑执行、PL/SQL 调试与数据导入导出）：
ODC 是企业级数据库协同开发平台，面向应用研发人员，支持 SQL 编辑、PL/SQL 调试、对象建模与数据导入导出。",单选题
85,OceanBase 的 BlockCache（数据块缓存）主要用来缓存什么？ A. 经常访问的 SQL 执行计划 B. 数据表中的微块 (Micro Block) 数据，加速读操作 C. 分布式事务的状态信息 D. Paxos 的选举信息,"正确答案：B

详细解析
B 项正确（数据表中的微块 Micro Block 数据，加速读操作）：
BlockCache 将磁盘 SSTable 中的解压/未解压数据微块缓存在内存中，减少物理磁盘 I/O 并降低读延迟。Plan Cache 缓存执行计划。",单选题
86,关于 OceanBase 中 Zone 的描述，错误的是： A. Zone 是一个逻辑概念，通常映射为一个物理机房 B. 同一个 Zone 内可以包含多台 OBServer C. 租户的数据副本通常会在不同的 Zone 之间分布以实现容灾 D. 一个 Zone 宕机，整个集群的数据就会彻底丢失不可恢复,"正确答案：D

详细解析
D 项表述错误（符合题意）：
基于 Paxos 多数派协议，单个 Zone 宕机时，其余 Zone 占据多数派，系统秒级自动选主恢复，数据零丢失（RPO=0，RTO<8s），绝不会丢失全部数据。",单选题
87,在 OceanBase 的 Oracle 模式下，哪种对象可以封装和组织多个相关的存储过程和函数？ A. Package (包) B. Trigger (触发器) C. Sequence (序列) D. Synonym (同义词),"正确答案：A

详细解析
A 项正确（Package - 包）：
在 Oracle 兼容模式下，Package（包）由包规范与包体组成，用于将逻辑相关的存储过程、函数、游标、变量和类型集中封装在一起。",单选题
88,关于 OceanBase 中租户的内存隔离，说法错误的是？ A. 租户内存是物理独占的，互不干扰 B. 当某个租户内存不足时，可以借用其他空闲租户的内存 C. 租户的内存上限由 Unit 的配置决定 D. 租户内存不足会导致该租户内的事务因内存溢出报错,"正确答案：B

详细解析
B 项表述错误（符合题意）：
租户内存采用严格的独占硬隔离机制，不支持跨租户动态借用或超卖，以防止内存争用引发节点崩溃或 OOM。A、C、D 项表述均正确。",单选题
89,如果要在 OceanBase 集群中新建一个业务，第一步通常是做什么？ A. 创建表组 (Tablegroup) B. 创建资源单元模板 (Resource Unit) C. 直接执行 Create Database D. 直接执行 Create User,"正确答案：B

详细解析
B 项正确（创建资源单元模板 - Resource Unit）：
标准生命周期流程为：创建资源单元模板（Resource Unit） $ightarrow$ 创建资源池（Resource Pool） $ightarrow$ 创建独立租户（Create Tenant） $ightarrow$ 登录租户创建用户、数据库与业务表。",单选题
